phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-10-20,3,3,1,0.8519,0.7974,0.465,0.1958,0.19
PHASE1_TRAIN,2016-08-19,3,3,1,0.8515,0.7871,0.5053,0.1857,0.1712
PHASE1_TRAIN,2017-01-19,3,3,1,0.8476,0.8465,0.4696,0.2041,0.1987
PHASE1_TRAIN,2016-07-29,3,3,1,0.8451,0.6955,0.4947,0.1903,0.1744
PHASE1_TRAIN,2016-08-22,3,3,1,0.8425,0.8035,0.5066,0.1859,0.1714
PHASE1_TRAIN,2016-09-20,3,3,1,0.8419,0.8435,0.4902,0.1818,0.1692
PHASE1_TRAIN,2016-09-20,3,3,1,0.84,0.8607,0.4927,0.1829,0.1707
PHASE1_TRAIN,2016-09-06,3,3,1,0.8398,0.8808,0.4909,0.1813,0.1689
PHASE1_TRAIN,2017-11-16,3,3,1,0.8376,0.863,0.4985,0.2061,0.1987
PHASE1_TRAIN,2017-11-15,3,3,1,0.8366,0.8199,0.4985,0.206,0.1987
PHASE1_TRAIN,2016-10-18,3,3,1,0.8353,0.8912,0.4669,0.195,0.1894
PHASE1_TRAIN,2016-10-14,3,3,1,0.8351,0.8516,0.4662,0.1949,0.1893
PHASE1_TRAIN,2017-01-18,3,3,1,0.8336,0.8282,0.4599,0.2034,0.1984
PHASE1_TRAIN,2016-08-11,3,3,1,0.8335,0.7737,0.4656,0.1862,0.1693
PHASE1_TRAIN,2016-08-18,3,3,1,0.8333,0.7815,0.4757,0.1877,0.1712
PHASE1_TRAIN,2017-11-17,3,3,1,0.833,0.9518,0.4988,0.2067,0.1993
PHASE1_TRAIN,2016-11-28,3,3,1,0.8312,0.8773,0.4593,0.1979,0.1921
PHASE1_TRAIN,2016-10-20,3,3,1,0.8286,0.8507,0.4672,0.1892,0.1812
PHASE1_TRAIN,2020-07-06,3,3,1,0.8277,0.9108,0.4515,0.2108,0.2026
PHASE1_TRAIN,2016-09-07,3,3,1,0.8266,0.876,0.4659,0.179,0.1688
PHASE1_TRAIN,2016-10-17,3,3,1,0.8263,0.8857,0.4655,0.1841,0.1757
PHASE1_TRAIN,2016-10-05,3,3,1,0.8249,0.9478,0.4914,0.1825,0.1709
PHASE1_TRAIN,2017-01-17,3,3,1,0.8241,0.8936,0.4594,0.2032,0.1983
PHASE1_TRAIN,2017-10-13,3,3,1,0.823,0.9678,0.5002,0.2062,0.1992
PHASE1_TRAIN,2016-09-21,3,3,1,0.822,0.9155,0.4899,0.1825,0.1701
PHASE1_TRAIN,2016-08-24,3,3,1,0.8214,0.9144,0.495,0.1881,0.1723
PHASE1_TRAIN,2017-10-18,3,3,1,0.8203,0.9631,0.5004,0.2062,0.1992
PHASE1_TRAIN,2016-10-18,3,3,1,0.8184,0.9237,0.4644,0.1957,0.1899
PHASE1_TRAIN,2017-11-08,3,3,1,0.8184,0.9639,0.4994,0.2063,0.1991
PHASE1_TRAIN,2017-10-16,3,3,1,0.8165,1.0002,0.5002,0.2062,0.1992
PHASE1_TRAIN,2017-03-09,3,3,1,0.8163,0.937,0.4822,0.2053,0.1992
PHASE1_TRAIN,2016-09-06,1,1,1,0.8139,0.9688,0.5213,0.1825,0.1695
PHASE1_TRAIN,2017-11-28,3,3,1,0.8139,1.0137,0.4992,0.2068,0.1994
PHASE1_TRAIN,2016-09-22,3,3,1,0.8137,0.8628,0.4955,0.1845,0.1728
PHASE1_TRAIN,2016-10-07,3,3,1,0.8116,0.9349,0.4927,0.1807,0.1686
PHASE1_TRAIN,2017-10-17,3,3,1,0.8079,1.0091,0.5003,0.2062,0.1992
PHASE1_TRAIN,2016-09-01,3,3,1,0.8073,0.8504,0.4924,0.1838,0.1715
PHASE1_TRAIN,2016-09-07,3,3,1,0.8067,0.9381,0.4912,0.1831,0.1714
PHASE1_TRAIN,2017-10-12,3,3,1,0.8064,1.0372,0.5001,0.2061,0.1992
PHASE1_TRAIN,2016-09-27,3,3,1,0.8047,0.9273,0.4766,0.1801,0.1686
PHASE1_TRAIN,2016-08-18,3,3,1,0.8046,0.9278,0.5128,0.1897,0.1752
PHASE1_TRAIN,2016-09-08,3,3,1,0.8042,0.9668,0.492,0.1815,0.1691
