phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc
PHASE1_TRAIN,2016-08-30,7,7,1,0.6814,0.9891,0.3922
PHASE1_TRAIN,2021-06-01,7,7,1,0.6812,1.7059,0.3511
PHASE1_TRAIN,2019-10-23,7,7,1,0.6809,1.6545,0.3527
PHASE1_TRAIN,2019-10-22,7,7,1,0.6807,1.6649,0.3526
PHASE1_TRAIN,2022-03-03,7,7,1,0.6802,1.8117,0.3539
PHASE1_TRAIN,2016-11-24,7,7,1,0.6799,1.5943,0.3512
PHASE1_TRAIN,2016-09-28,7,7,1,0.6795,1.6332,0.3707
PHASE1_TRAIN,2016-11-02,7,7,1,0.6794,1.6475,0.3576
PHASE1_TRAIN,2017-02-09,7,7,1,0.6788,1.7178,0.3651
PHASE1_TRAIN,2017-01-04,7,7,1,0.6787,1.6819,0.3607
PHASE1_TRAIN,2019-04-02,7,7,1,0.6776,1.4214,0.3543
PHASE1_TRAIN,2016-10-19,9,9,1,0.6771,1.5396,0.3591
PHASE1_TRAIN,2016-10-10,7,7,1,0.677,1.6518,0.3752
PHASE1_TRAIN,2016-08-17,7,7,1,0.6765,1.5061,0.3647
PHASE1_TRAIN,2016-11-02,7,7,1,0.6755,1.6411,0.3601
PHASE1_TRAIN,2016-08-22,7,7,1,0.6755,1.0415,0.3564
PHASE1_TRAIN,2016-08-22,7,7,1,0.6751,1.2089,0.3836
PHASE1_TRAIN,2020-02-28,10,10,1,0.6748,1.8064,0.3553
PHASE1_TRAIN,2016-11-04,7,7,1,0.6747,1.6347,0.3583
PHASE1_TRAIN,2016-10-04,7,7,1,0.674,1.4771,0.3725
PHASE1_TRAIN,2016-08-17,7,7,1,0.6737,1.2661,0.3407
PHASE1_TRAIN,2016-11-01,7,7,1,0.6737,1.619,0.3595
PHASE1_TRAIN,2019-07-17,7,7,1,0.6735,1.7701,0.3533
PHASE1_TRAIN,2021-05-27,7,7,1,0.6729,1.7912,0.3511
PHASE1_TRAIN,2020-01-21,7,7,1,0.672,1.7198,0.3556
PHASE1_TRAIN,2016-12-30,7,7,1,0.6719,1.3844,0.3505
PHASE1_TRAIN,2019-02-20,7,7,1,0.6717,1.8183,0.3538
PHASE1_TRAIN,2016-12-06,7,7,1,0.6708,1.7034,0.3499
PHASE1_TRAIN,2017-06-05,7,7,1,0.67,1.6777,0.3636
PHASE1_TRAIN,2016-11-02,7,7,1,0.6697,1.6059,0.3569
PHASE1_TRAIN,2016-12-07,7,7,1,0.6695,1.7242,0.3502
PHASE1_TRAIN,2019-03-18,7,7,1,0.6692,1.5861,0.3546
PHASE1_TRAIN,2017-03-17,7,7,1,0.6692,1.7817,0.3682
PHASE1_TRAIN,2016-08-12,7,7,1,0.6689,1.4514,0.3362
PHASE1_TRAIN,2016-09-22,8,8,1,0.6688,1.4901,0.3739
PHASE1_TRAIN,2016-11-18,7,7,1,0.6687,1.708,0.358
PHASE1_TRAIN,2017-01-06,7,7,1,0.6686,1.7105,0.3622
PHASE1_TRAIN,2022-07-12,7,7,1,0.6683,1.484,0.3513
PHASE1_TRAIN,2021-05-26,7,7,1,0.6683,1.7995,0.3511
PHASE1_TRAIN,2018-09-25,7,7,1,0.6677,1.5914,0.3603
PHASE1_TRAIN,2017-08-16,7,7,1,0.6666,1.7816,0.3634
PHASE1_TRAIN,2022-07-11,7,7,1,0.6662,1.479,0.3513
PHASE1_TRAIN,2017-07-28,7,7,1,0.6662,1.6455,0.3629
PHASE1_TRAIN,2016-09-29,7,7,1,0.6656,1.6142,0.3764
PHASE1_TRAIN,2020-03-16,8,8,1,0.6655,1.8041,0.3533
PHASE1_TRAIN,2017-03-08,7,7,1,0.6653,1.73,0.3663
PHASE1_TRAIN,2016-08-31,7,7,1,0.6652,1.4495,0.3764
