phase,symbol,date,sample_key,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,ABBV,2016-08-01,ABBV|2016-08-01,3,3,1,0.6206,1.6345,0.5636,0.4217,0.4117,"[0.06026, 0.185438, 0.620626, 0.087553, 0.046123]","{'sgd': 0.30618, 'pa': 0.59955, 'gnb': 0.04713, 'rule': 0.04713}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.7614, 'gnb': 0.2, 'rule': 0.914}",0.002846,0.014192
PHASE1_TRAIN,ABBV,2016-08-02,ABBV|2016-08-02,3,3,1,0.469,1.9722,0.5714,0.4248,0.4147,"[0.04153, 0.204197, 0.468956, 0.136858, 0.148459]","{'sgd': 0.2733, 'pa': 0.63306, 'gnb': 0.04682, 'rule': 0.04682}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3832, 'pa': 0.5552, 'gnb': 0.2, 'rule': 0.8343}",-0.001942,0.015105
PHASE1_TRAIN,ABBV,2016-08-03,ABBV|2016-08-03,3,3,1,0.8629,0.8185,0.5789,0.4278,0.4175,"[0.016568, 0.023639, 0.862928, 0.069621, 0.027244]","{'sgd': 0.24248, 'pa': 0.66443, 'gnb': 0.04654, 'rule': 0.04654}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9188, 'gnb': 0.2, 'rule': 0.9695}",-0.003592,0.011642
PHASE1_TRAIN,ABBV,2016-08-04,ABBV|2016-08-04,2,3,0,0.3656,1.9588,0.569,0.4167,0.4097,"[0.018276, 0.332872, 0.365603, 0.12087, 0.16238]","{'sgd': 0.24355, 'pa': 0.66736, 'gnb': 0.04454, 'rule': 0.04454}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.4107, 'gnb': 0.2, 'rule': 0.8963}",-0.007508,0.013616
PHASE1_TRAIN,ABBV,2016-08-05,ABBV|2016-08-05,3,3,1,0.6877,1.4295,0.5763,0.4194,0.4123,"[0.037373, 0.163727, 0.687734, 0.075069, 0.036097]","{'sgd': 0.2717, 'pa': 0.62936, 'gnb': 0.04947, 'rule': 0.04947}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.8585, 'gnb': 0.2, 'rule': 0.9144}",0.00423,0.00722
PHASE1_TRAIN,ABBV,2016-08-08,ABBV|2016-08-08,3,3,1,0.6276,1.6041,0.5833,0.4221,0.4148,"[0.041062, 0.186743, 0.627645, 0.090635, 0.053915]","{'sgd': 0.24235, 'pa': 0.66407, 'gnb': 0.04679, 'rule': 0.04679}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.747, 'gnb': 0.2, 'rule': 0.9485}",-0.004651,0.013868
PHASE1_TRAIN,ABBV,2016-08-09,ABBV|2016-08-09,3,3,1,0.5279,1.8644,0.5902,0.4246,0.4172,"[0.071653, 0.217989, 0.527936, 0.106907, 0.075515]","{'sgd': 0.21394, 'pa': 0.69345, 'gnb': 0.04631, 'rule': 0.04631}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5006, 'pa': 0.5908, 'gnb': 0.2, 'rule': 0.9013}",0.006331,0.014979
PHASE1_TRAIN,ABBV,2016-08-10,ABBV|2016-08-10,3,2,0,0.4089,1.8103,0.5806,0.4205,0.4101,"[0.02651, 0.408939, 0.387525, 0.106474, 0.070553]","{'sgd': 0.1878, 'pa': 0.7201, 'gnb': 0.04605, 'rule': 0.04605}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.9998, 'pa': 0.5228, 'gnb': 0.2, 'rule': 0.8997}",-0.00747,0.011591
PHASE1_TRAIN,ABBV,2016-08-11,ABBV|2016-08-11,3,3,1,0.8039,1.0465,0.5873,0.4229,0.4123,"[0.018003, 0.095836, 0.803887, 0.060736, 0.021537]","{'sgd': 0.16408, 'pa': 0.74425, 'gnb': 0.04583, 'rule': 0.04583}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.9555, 'gnb': 0.2, 'rule': 0.9235}",0.001646,0.006124
PHASE1_TRAIN,ABBV,2016-08-12,ABBV|2016-08-12,3,3,1,0.7586,1.2483,0.5938,0.4252,0.4144,"[0.033996, 0.096804, 0.758564, 0.072763, 0.037872]","{'sgd': 0.14276, 'pa': 0.76596, 'gnb': 0.04564, 'rule': 0.04564}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.8818, 'gnb': 0.2, 'rule': 0.8759}",0.00329,0.012522
